audience,port,type,question,desc,answer,attachment,bucket,categories
principal,校长,其他,请问这里班级我为什么不能上架我想上架这个栏目,班级不能上架到小程序,小程序目前只能上架1对多班级,4135badcdb4e1dab3726aac676f72de.jpg,review_rewrite_needed,"['班级/排课/课时/考勤', '小程序/公众号/二维码']"
sales,销售,其他,各位老师好，麻烦帮我看一下这个模考学生张予辰Jasper，电话13515662995，他模考已经完成并且上传，但是系统公池里面没有，谢谢,学生作答了入学模考，公池找不到记录,从数据分析看，这个学生应该同时咨询过huge，从huge的域名进入做的入学模考,,review_rewrite_needed,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,,老师~ 学生反映在写题目和测试的时候，系统无法播放单词的声音。,系统无法播放单词音频,未复现，从录屏看确实最后一个单词没有自动播放发音，已告知客户可以点击喇叭再次播放,,review_rewrite_needed,['音频/录音/听力']
teacher,老师,其他,请问为什么我选择的是系统默认反馈，点击预览，出来的只有下面四个，老师端反馈内容出现很多,设置用系统默认的反馈，老师端出现反馈项过多，异常,未复现，已处理,image.png,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,其他,你好呀，目前课程进度还是只能看到【已上/总课时】呢？没有显示已排呢？,老师端班级课表看不到【已上/总课时】,教务端的班级界面，可以看到“已排”课时,image.png,review_rewrite_needed,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,其他,老师，有几个学生都反馈说做题做一半系统自动交卷，导致后面的题没法正常做完，麻烦看看什么原因呢？,学生做题，时间到了，系统自动提交，导致后面的题没正常做完,布置作业的时候可以设置答题倒计时是否开启,,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,其他,就是我有一个客户，昨天。,潜客签约完了，在公池里就找不到，但是在潜客里还有这个客户,协作销售，只是能跟进潜客，跟进时可以选签约，但不会出现在用户池里，转正学员只能主销售或销售管理员处理,image.png,review_rewrite_needed,['权限/角色/公池']
teacher,老师,其他,这些其他数据是什么数据呢？怎么查是谁输入的呢？,潜客数据其他是什么意思,这个问题是指，这些潜客线索既没有销售挂名也没有被分配到别的销售，所以显示的是其他,,review_rewrite_needed,[]
teacher,老师,使用问题,老师们好，请问本周周二的课程，老师想写反馈，为什么上面选择不了，没有本周周二的日期呢？,老师想写周二的课堂反馈，但是没有课程,没有排课,"a19b8c06a3267a32d91c3259889105c.jpg,a19b8c06a3267a32d91c3259889105c.jpg",review_rewrite_needed,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
academic,教务,其他,之前学生课时用超了的话，小程序里面会显示超了多少课时，现在哪怕是超了，课时显示也是0,小程序家长端现在剩余课时显示一直是0,小程序上的剩余课时最小显示的0，要处理成能显示负数,,review_rewrite_needed,"['班级/排课/课时/考勤', '小程序/公众号/二维码']"
academic,教务,其他,您好这个课表下载前面怎么总有个hello,课表下载上课内容前面有hello字样,调试忘改了,d30ae21a1fe6d55b4eb44d29bf79568.png,review_rewrite_needed,['班级/排课/课时/考勤']
sales,销售,其他,为啥我学生做了雅思模考测试我这边在公池里面找不到呢,查找不到学生的入学模考数据,学生之前做过入学模考，数据会在之前的潜客数据上，之前的数据是没有负责销售的，可以让销售管理员或者校长分配,,review_rewrite_needed,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,其他,您好，麻烦帮忙看一下这份练习一直无法提交是什么原因,学生单词作业无法提交,单词录入问题,35732dc336b9709f82429757fc4b825.jpg,review_rewrite_needed,['作业/布置/批改/反馈']
teacher,老师,使用问题,and 现在这个是什么情况呀这个是我们自己编的一个手机号占位用的为什么会报错,输入手机号报错,号码后面有空格,1a1e576da44cfa560f985bef1e8ec45.png,review_rewrite_needed,['账号登录/密码/手机号']
teacher,老师,其他,今天系统在升级吗，自定义作业布置不了了,作业管理页面布置作业，类型没有办法点击,未复现,88ef81d728a740c2e4a09670bec0b17.png,review_rewrite_needed,['作业/布置/批改/反馈']
student,学生,其他,学生反馈用iPad做雅思，选项拖不上去,学生反馈用iPad做雅思，选项拖不上去,可以固定选项面板,90d25fdbb17fb80da7696b7cc06cc3d2.mp4,review_rewrite_needed,['作业/布置/批改/反馈']
student,学生,其他,我现在点确认然后就没了，我这个录音了15秒的，这边1211班，三个学生都有这个问题,学生自定义作业录音确认后会未显示,未复现,"4bbcf8861d11947fcdbd644f4509831.jpg,4bbcf8861d11947fcdbd644f4509831.jpg,d7b57747d6368e4af2b4e10badc3099.jpg,861856a1894534c2ebab656ce4bcdad.jpg",review_rewrite_needed,"['作业/布置/批改/反馈', '音频/录音/听力']"
academic,教务,其他,请问一下老师，这个是什么原因呢,学生号码显示被占用，如何创建账号,1：可以在公池修改被占用的号码，再创建账号 2：直接将公池内该号码成员转正，再修改信息 3：直接创建账号，修改其中一位数字,caf30febbc969bf8ce3c6213a32f709.png,review_rewrite_needed,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,其他,老师请问这个听力评分是按照做了的题目的比例核算嘛？听力分数按照实际作答应该只有5.5分。,雅思听力评分不对,分数没有问题，有多选题,72b36633ea224f96ebcc3768334d1b0.png,review_rewrite_needed,['音频/录音/听力']
student,学生,其他,基础练习句子听力学生答题时会有播放不了的情况,基础练习句子听力学生答题时会有播放不了的情况,未复现，需要再观察,"e864e90d0e2e625e2a8570cbd402d96.jpg,0f452d9cc74a5d972c925816da04db85_4.mp4",review_rewrite_needed,['音频/录音/听力']
teacher,老师,使用问题,李老师，是这样，按照校校系统上面word文档的模版，我吧测试题也修改成那样了，但是一直上传不上去，口语的话是彻底上传不上去,自有题库文档上传显示没有答案,文档格式不对,8094880a86a4552fb65b63aacdf7431.png,review_rewrite_needed,['题库/录题/单词书/模考']
teacher,老师,其他,你好 我们有学生反应雅思阅读训练现在不限时了 也不知道自己花了多少时间,布置的作业没有限时,题型训练不限时间，模考是限时的。布置模考作业时关闭了倒计时结束禁止答题，就可以答题,fd61eba60ae2d8061767d8c580be9f9.png,review_rewrite_needed,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,其他,你好，学生做系统上雅思模考的时候 倒计时有问题，第二部分阅读开始 正常是倒计时60分钟，图2是对的，但是接下来就变成图1,学生答题录屏倒计时显示有误,录屏显示有误,"4488ceef8d7d9d0a9cc5f9ee1ba6196.jpg,c285701f0cdd4731bdc9688104c23bb.jpg",review_rewrite_needed,['题库/录题/单词书/模考']
