review_id,suggested_decision,human_decision,audience,audience_label,port,type,question,desc,answer,rewrite_hint,attachment,categories,score,review_note
fb-review-013,改写后入库,,student,学生库,学生,使用问题,请问 单词在测试前的学习阶段，学生反馈 学习到一半，单词卡在了录音的那个界面（录音倒计时5秒，就卡在了第五秒那）跳不到下一个单词，导致学习没法继续，学生再刷新之后，又跳回了测试的界面,学生测试单词卡在了录音的那个界面，跳不到下一个单词,学生没有用谷歌浏览器,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存']",92,
fb-review-014,建议入库,,teacher,老师库,老师,使用问题,"老师请问下,孩子看不到作业是什么原因哇?",学生看不到作业,学生登录的系统和老师不是同一个,老师，先确认学生登录的系统和老师布置作业的系统是否一致。如果登录到了其他系统或环境，学生端就看不到对应作业。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池']",92,
fb-review-015,改写后入库,,teacher,老师库,老师,使用问题,学生看不到作业大纲的作业,老师可以看到作业大纲的作业是无法看到,学生是非VIP账号,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池']",92,
fb-review-016,改写后入库,,student,学生库,学生,使用问题,老师，学生做测试反馈，part1正常，part2没有声音，就卡在这里了,雅思入学模考口语部分没有声音,未使用谷歌浏览器,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,50497babba0aa3c32c46f3d51bf2c9bf.mp4,"['作业/布置/批改/反馈', '音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']",85,
fb-review-017,建议入库,,student,学生库,学生,使用问题,麻烦解决下,学生入学模考答题跳过了阅读和听力,如果学生之前做过，同一个手机号再次进入，会从之前退出的部分继续做 一个手机号同一套题，只能做一次，可以让学生换个手机号吗,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,"cf45783e7caa0d5a7faee536e45fb25.jpg,bce085bbcff5b88c5e957a12ed3aed4.jpg","['账号登录/密码/手机号', '音频/录音/听力', '题库/录题/单词书/模考']",75,
fb-review-018,建议入库,,teacher,老师库,老师,操作疑问,老师，我们后台的雅思核心词汇，和托福核心词汇，雅思听力词汇这些我在哪能够看到完整版的单词目录呢,如何查看系统单词的详细单词目录,在布置作业里，点击预览也可以看到详细单词列表,在布置作业里，点击预览也可以看到详细单词列表,image.png,"['作业/布置/批改/反馈', '音频/录音/听力']",74,
fb-review-019,建议入库,,teacher,老师库,老师,操作疑问,老师们，要给家长开通账号，才能同步收到学生完成作业的提醒吗？还是家长自行绑定哪儿就行了,家长如何同步收到学生完成作业的提醒,教务端或者校长端，点击学员，找到这名学生后点击编辑，拉到最下面会有家长账号的设置，设置好后家长可以草公账号,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈']",73,
fb-review-020,建议入库,,teacher,老师库,老师,操作疑问,你好，学生的系统账号绑定了公众号，但是家长也想了解孩子完成作业的情况，需要怎么操作呢？,家长想了解孩子完成作业的情况，需要怎么操作,教务或者校长，在学员设置账号那里，学生姓名边上会有一个家长二维码,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '小程序/公众号/二维码']",73,
fb-review-021,建议入库,,teacher,老师库,老师,使用问题,老师，想问问新生的模考可以生成模考的二维码，但是老师手机扫码进入后只能查看，不能编辑，怎么处理呢？,老师手机查看入学模考二维码没有办法批改,如果已经是正式学员了，老师可以直接在学员管理，看到学生入学模考成绩。如果学生还未转正，入学模考由销售发送二维码给老师，老师登录系统，复制二维码链接可以给学生批改,如果已经是正式学员了，老师可以直接在学员管理，看到学生入学模考成绩。如果学生还未转正，入学模考由销售发送二维码给老师，老师登录系统，复制二维码链接可以给学生批改,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考', '小程序/公众号/二维码']",73,
fb-review-022,建议入库,,teacher,老师库,老师,操作疑问,老师们好，请问基础端学员的作业练习材料如 黑眼睛 / Grammar in Use 这些在校校系统里好像没有看到，那是否需要开通账号呢？还是等进入正课后再开？,系统没有作业练习材料如 黑眼睛 / Grammar in Use ，学生是否需要开通账号,材料可以上传到自有题库使用，如果学生要做作业和上课的话就是需要开通账号的,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考']",73,
fb-review-023,建议入库,,teacher,老师库,老师,使用问题,你好，我想问一下系统里基础练习-机构题库-sixway阅读这一部份布置之后打开来选择题没法选择，用chrome浏览器也是这样，这个是有什么问题吗？还是我操作上哪里有误呀，辛苦看一下～,机构题库选择题没有办法作答,需要录入题目的老师修改下，选项录入到题干里了,需要录入题目的老师修改下，选项录入到题干里了,a579cf703ba5ef8b00ddf9c8900bda3e_.jpg,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '题库/录题/单词书/模考']",73,
fb-review-024,建议入库,,teacher,老师库,老师,使用问题,学生说阅读的上下干嘛都可以，就是填单词手写也可以，就是阅读的选择就是不行，您能不能问下你们团队其他人，今天有没有遇到这个问题呀？,学生反馈做题卡顿，点击不了选项,建议使用Safari浏览器，某些题目是拖动的，不是点击的,建议使用Safari浏览器，某些题目是拖动的，不是点击的,b9c8ab96a13bf8ceb0bf6d3c376864e.jpg,"['作业/布置/批改/反馈', '浏览器/网络/缓存']",73,
fb-review-025,建议入库,,student,学生库,学生,使用问题,有学生反映 模考练习中，听力听一半就没有了,模考答题，听力未完整播放,老师，可能是由于网络或者缓存的原因 学生可以多刷新页面或者关闭页面重新进入 由于网络问题引起的音频加载失败，可以下载音频作答，系统会有提示的，具体规则如下： 如果超过15秒没有加载成功，会间歇性（第1/3/6次）提示：可以将音频下载下来到本地播放 同时，在播放音频界面，右侧有按钮，可以跳过音频（在下载音频到本地听过之后可以跳过）,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,4cf63e75b25b900e8b7ffa536fd58f4.jpg,"['音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']",72,
fb-review-026,建议入库,,teacher,老师库,老师,操作疑问,学生的作业没有更新出来,学生大纲作业新增的内容没有下发给学生,从教研-大纲那里给作业大纲添加了新的任务条目，在班级里，新加的条目是没有日期也不会下发作业的。可以给新加的任务设置一下下发日期就可以了,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,3253d1ac715954ebff365d68a73139b.png,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",72,
fb-review-027,建议入库,,teacher,老师库,老师,操作疑问,这个提示是什么情况下出现的呀~,老师布置作业，显示班级已科目已变更,班级关联的课程更改过题库类别，需要教务/校长在班级管理选择该班级，重新确定下,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,de36dabff32272e5b18eb0b78c8206d.png,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']",72,
fb-review-028,建议入库,,teacher,老师库,老师,操作疑问,这是学生模考听力出现的问题，浏览器和网络都没有问题,学生模考时出现内存不足的提示，如何解决,如果出现内存不足的提示，可以用以下方式解决： 1：检查下浏览器是否是最新版本，是否有打开多个网页，可以更新下浏览器版本 2：关闭谷歌浏览器，再重新打开进入系统，看是否能正常答题 3：如果关闭浏览器重新进入，还是显示内存不足，就需要清理一下缓存 清理浏览器缓存，步骤如下： 1：打开浏览器设置，选择隐私设置和安全性 2：选择清除浏览数据，将时间范围选为不限,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,f82ca689c636fbd3df672a0a0114b8c.png,"['音频/录音/听力', '浏览器/网络/缓存', '题库/录题/单词书/模考']",72,
fb-review-029,建议入库,,teacher,老师库,老师,操作疑问,老师请问这个报错是什么意思？需要如何操作谢谢！,老师布置作业提示科目已变更，无法布置作业,可以在班级管理点击编辑，再点击确认，科目会更新,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,fd1aa4c59ebe9f7968a366adda9ce40.jpg,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",72,
fb-review-030,建议入库,,student,学生库,学生,使用问题,辛苦帮忙解决下这个上传录音得问题哈，好多学生反馈上传超过5分钟得音频都是录音失败上传不了得问题,学生自定义作业上传录音超过5分钟的会上传失败,学生录音后如果直接点击确认是没有办法保存录音的，需要点击话筒的图标再点击确认,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,,"['作业/布置/批改/反馈', '音频/录音/听力']",71,
fb-review-031,建议入库,,teacher,老师库,老师,操作疑问,请问一下教学主管这边 怎么能看到各位老师后台作业布置、反馈批改这个动作呢,教学主管怎么看到各位老师后台作业布置、反馈批改的动作,老师身份，如果要看其他老师的话需要教务/校长在员工管理把其他老师添加为您的下属，或者直接给您一个教务/校长的身份,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,a420faee5545ccb815460155ebb4447.png,"['作业/布置/批改/反馈', '权限/角色/公池']",71,
fb-review-032,建议入库,,teacher,老师库,老师,使用问题,我现在不知道为啥给学生布置作业在总的作业界面看不到，但是在学生自己的名下能看到,给学生布置的作业，老师在作业管理页面看不到,可以筛选一下，只看自己布置的，现在是总的显示，其他老师布置的作业也能看到,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,"cfb6ca4a2597a8512766e5cac4c8037.png,9427a050dec89ddb7e36aaac23bb6b2.png","['作业/布置/批改/反馈', '权限/角色/公池']",71,
fb-review-033,建议入库,,teacher,老师库,老师,操作疑问,您好 咨询一下几个功能 1 听力精听、跟读功能 2 单词打卡功能 3 内部成绩登记、分析功能,1 听力精听、跟读功能 2 单词打卡功能 3 内部成绩登记、分析功能,1：听力精听、跟读功能老师可以在基础练习进行布置， 同时如果布置对应的模考，学生可以在完成后可以在结果页进行相应的巩固练习 2：单词打卡功能 1）可以通过单词书下发给单词书给学生，设置测试形式和单元通关率 2）可以通过基础练习-单词-多次模式，给学生下发某段时间需要完成的单词练习 3 内部成绩登记、分析功能老师可以在学员管理的考试记录中添加学生的线下或其他考试成绩 可以在学习报告中看到学生在系统内完成的成绩分析,老师，您可以先让学生使用 Chrome 浏览器重新进入，并刷新页面或清理缓存。如果音频超过 15 秒仍未加载，可按页面提示下载音频本地播放；仍不行的话，再提供学生账号、测试链接和截图转人工排查。,,"['作业/布置/批改/反馈', '音频/录音/听力', '题库/录题/单词书/模考']",71,
fb-review-034,建议入库,,academic,教务库,教务,操作疑问,老师 我想请问下 一个账号可不可以关联所有课程呢,需要给学生账号关联系统内所有课程,可以给学生创建不同的班级，一个班级关联一个课程，课程是和班级挂钩的,可以给学生创建不同的班级，一个班级关联一个课程，课程是和班级挂钩的,,"['账号登录/密码/手机号', '班级/排课/课时/考勤']",70,
fb-review-035,建议入库,,student,学生库,学生,使用问题,你好，现在反馈几个学生在初使用系统过程中，遇到地几个问题，以及寻求解决方法： 1.模考过程中， 遇到阅读做完，就卡起，导致模考无法进行 2.口语答完，直接被卡出来，导致没有做完,学生在模考过程中， 遇到1：阅读做完，就卡了，导致模考无法进行 2.口语答完，直接被卡出来，导致没有做完,学生未使用正确的浏览器，建议电脑使用谷歌浏览器,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '题库/录题/单词书/模考']",70,
fb-review-036,建议入库,,teacher,老师库,老师,操作疑问,哈喽我想问一下，如果我把一个学生账号现在从托福转到sat，然后过一段时间再转回托福的话，他托福部分的刷题记录还会在吗,学生转班后之前的刷题记录还在吗,同一个学生的话，可以不转，直接新增加一个sat班级，然后同时在两个班级,老师，您可以先检查班级课时、学生所在班级和转入班级配置是否完整；如果提示无剩余课时，通常需要先确认目标班级是否设置了总课时。,,"['账号登录/密码/手机号', '班级/排课/课时/考勤']",70,
fb-review-037,建议入库,,academic,教务库,教务,操作疑问,请问Nancy的账号下，学员找到了，但是模考成绩这里似乎没有。是只有校长账号下才能看，还是我没找对地方呢？,教务如何查看学生入学模考成绩,用销售管理员或者校长的账号在公池中可以查看学生的入学模考,用销售管理员或者校长的账号在公池中可以查看学生的入学模考,,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']",69,
fb-review-038,建议入库,,academic,教务库,教务,操作疑问,A同学和B同学一起组班上英语课，同时A同学跟C同学也是一起组班上数学课的（也就是说A同学分别跟B和C同学组班上不同的课），但中途A同学因为时间原因不能再跟C同学上课，他要插班进去别的数学班课。 1.请问这个情况要怎么操作吗？（A同学和C同学一起上几节课，之后的课程插班进新的班级） 2.A同学插班进新的班级后，原来和C同学一起上课的记录还有吗？就是课程信息包括课后反馈这些。,学生转班怎么操作，转班之后之前班级的上课记录还有吗,在班级管理页面操作，转班之后，只要不将学生移除班级，原来的上课记录都是有的,老师，您可以先检查班级课时、学生所在班级和转入班级配置是否完整；如果提示无剩余课时，通常需要先确认目标班级是否设置了总课时。,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",69,
fb-review-039,建议入库,,teacher,老师库,老师,操作疑问,您好，请问系统上GRE的作业内容如何布置呢？,系统上GRE的作业内容如何布置,创建GRE课程，关联GRE题库，创建GRE班级，将老师和学生加入班级，即可布置,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']",69,
fb-review-040,建议入库,,teacher,老师库,老师,使用问题,李老师您好，请问为什么后台配置了考试，再从学生端登录后什么都没有呢,老师测试潜客答题，出现结果页,老师登陆了老师端，又登了学生端。身份有重叠,老师登陆了老师端，又登了学生端。身份有重叠,,"['账号登录/密码/手机号', '权限/角色/公池']",69,
fb-review-041,建议入库,,teacher,老师库,老师,使用问题,上完了课，首页没有待反馈,上完了课，首页没有待反馈课程,因为学生入班时间晚于上课时间，所以首页待反馈没有显示，可以在班级管理或者学员管理填写反馈,因为学生入班时间晚于上课时间，所以首页待反馈没有显示，可以在班级管理或者学员管理填写反馈,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",69,
fb-review-042,建议入库,,teacher,老师库,老师,操作疑问,你好，我在自己的账户里面新建了常用作业，如何分享给机构里的其他老师？,如何把作业分享给其他老师布置,助教点击作业管理 选择再次布置 布置给别的班级,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",69,
fb-review-043,建议入库,,teacher,老师库,老师,操作疑问,这个作业布置完之后能不能设置下改个名字？,已布置的作业如何修改名称？,作业名称可以在概览修改布置给其他班级，或者再次布置的时候也可以修改,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']",69,
fb-review-044,建议入库,,teacher,老师库,老师,操作疑问,你好，请问一下如何在系统上面批量布置不同班级的学生作业？,如何在系统上面批量布置不同班级的相同内容的学生作业,可以在题库里选择内容后布置给多个班级，或者先布置一个班级的作业，在作业管理里面进行再次布置,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']",69,
fb-review-045,建议入库,,teacher,老师库,老师,使用问题,从哪个入口进入可以批改呢？我点开查看详情是批改不了的。,老师如何批改其他老师布置的模考,点击查看详情，再点击学生姓名，可以到结果页修改，或者在班级里点击学生作业状态进入作业结果页修改,点击查看详情，再点击学生姓名，可以到结果页修改，或者在班级里点击学生作业状态进入作业结果页修改,,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']",69,
fb-review-046,建议入库,,principal,校长库,校长,操作疑问,老师 如何改变学生们的正式会员那个分类？（年度/季度/非VIP学员），非vip会员可否布置作业？,学生类型如何调整,非VIP学生可以转VIP学生，但VIP学生不可转非VIP学生，非VIP无法做题库作业,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,21f58c8be8c5e75aad2874e9ac7bf82.png,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考']",68,
fb-review-047,建议入库,,teacher,老师库,老师,使用问题,今天为什么老是登录被踢出去？出什么问题了吗系统？,老师端显示鉴权失败,同一浏览器多个网页登录是不行的,同一浏览器多个网页登录是不行的,6378dc2d49488b3f10e88b7e7cc8e26.png,"['账号登录/密码/手机号', '浏览器/网络/缓存']",68,
fb-review-048,建议入库,,teacher,老师库,老师,使用问题,托福写作模考系统上语法错误和字数统计都看不到了，请问咋回事啊,学生作业生成二维码后，扫二维码看不到写作的成绩,开了模考成绩审核后发布，需要老师在结果页点击发布成绩,老师，您可以先检查三点：学生是否在对应班级里、作业布置对象是否包含该学生、学生账号是否有做题权限。确认后让学生端刷新或重新登录再看。,,"['作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考', '小程序/公众号/二维码']",68,
fb-review-049,改写后入库,,student,学生库,学生,使用问题,请问学生反映有这个问题是什么导致的呢,学生雅思答题反馈不能跳到第三篇题目,学生用的微信浏览器,学生用的微信浏览器,d88e39f693e053bda205eedbc2324ea.jpg,"['作业/布置/批改/反馈', '浏览器/网络/缓存']",67,
fb-review-050,改写后入库,,student,学生库,学生,使用问题,截止日期过了应该不影响提交吧？提交不了是怎么回事呀？,学生提交不了作业,学生用的微信浏览器,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,e1384c049b0fea84b034641b2bc6ede7_.jpg,"['作业/布置/批改/反馈', '浏览器/网络/缓存']",67,
fb-review-051,改写后入库,,teacher,老师库,老师,使用问题,最近两天出现这个时间选不了，然后布置不了作业的问题。,老师布置作业选不了开始日期,浏览器问题，没用谷歌,老师，您可以先确认作业是否已经成功布置、学生是否在对应班级内，以及作业状态是否已提交/已完成；如果状态正常但仍看不到，再提供学生账号和作业链接转人工排查。,"313d2a5e2f9e84d254d488b40b4081a.png,c80407040cb52404f1dd88279368eb5.png","['作业/布置/批改/反馈', '浏览器/网络/缓存']",67,
fb-review-052,改写后入库,,teacher,老师库,老师,使用问题,模考时间点不了，没反应，请您看看处理一下，试了两三次都无法选时间，无法提交,布置作业选不了开始时间,老师没有用谷歌浏览器,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,20340c2b303111b48ab64988f36e10e2.mp4,"['作业/布置/批改/反馈', '浏览器/网络/缓存', '题库/录题/单词书/模考']",67,
fb-review-053,改写后入库,,teacher,老师库,老师,使用问题,有个学生昨天做词汇任务的时候 测评发音一直录不进去 也不是网络的问题 麻烦解决一下,学生单词作业测评一直录不进去,学生没有使用谷歌浏览器,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,90c07c9a2bd6d8f54adb3a9e3159d5d.png,"['作业/布置/批改/反馈', '浏览器/网络/缓存']",67,
fb-review-054,改写后入库,,teacher,老师库,老师,使用问题,今天新进班的学生用学生账号登陆进去没有练习，只有少部分练习，不是全部的，但是助教段系统登录进去是看到全部练习的,学生只能看到部分作业，但是助教端看到全部练习的,学生是非VIP账号,老师，题库类作业需要学生账号是 VIP 才能完成。如果学生不是 VIP，学生端可能看不到或无法进入作业，需要先确认学生账号权限。,,"['账号登录/密码/手机号', '作业/布置/批改/反馈']",67,
fb-review-055,改写后入库,,teacher,老师库,老师,使用问题,为啥不能布置错词了,错词页面没有布置按钮,老师未使用谷歌浏览器,老师，这类情况通常和浏览器兼容性有关，建议学生优先使用 Chrome 浏览器重新进入；如果仍异常，再清理缓存、更换网络后重试。,27971f511be9f5efbbe45c476d92ac8.jpg,"['作业/布置/批改/反馈', '浏览器/网络/缓存']",67,
