audience,port,type,question,desc,answer,attachment,bucket,categories
sales,销售,优化,老师好 请问这是什么情况,导入潜客提示参数缺失:潜客列表JSON转换后为空，无法确认具体信息,年级为按照模板录入,bbdaea4c358d909946145e5f6ebf68b.png,ticket_or_handoff,[]
teacher,老师,入学模考配置,辛苦老师帮我们把雅思测试，更新下新的内容呗，系统现在最新的是14的题目。,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,题目问题,tpo75p2的最后一段应该是highlight的这一部分,tpo75p2 第8题材料有误,,46da04f95893610d54d234026a8acde.png,ticket_or_handoff,[]
teacher,老师,入学模考配置,麻烦问下，可以直接用系统上的题库传成入学模考测试的题吗？雅思C17T3,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
student,学生,bug,您好 现在作业模考都不计时了嘛？好多学生反映这个问题我们开启倒计时了，但是学生开始作业之后那个32分钟一直不动,SAT模考倒计时失效,修改新功能的时候关闭了倒计时，后面忘记打开的原因,e6f0a2c4ec3614b3a19d764040cd7a82.mp4,ticket_or_handoff,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,入学模考配置,明天麻烦帮我设置一套sat模考：读写机考sat机考套卷practice1 routing+practice1 harder，数学也是sat机考套卷practice1 routing+practice1 harder，谢谢,新增sat入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
academic,教务,bug,系统里为什么会出现美诺的老师账号，恨多不是新航道的员工,运营-老师布置作业数据出现了很多不是机构员工的账号,,"c88869e855f412e7d9f2929162d9b62.jpg,b223b1f7e75a81d5e8cdf055b1cee56.jpg",ticket_or_handoff,"['账号登录/密码/手机号', '作业/布置/批改/反馈']"
principal,校长,优化,比如这一单，业绩统计应该是要统计到2月，支付时间也改了,订单支付时间修改到了2月，但是业绩计算没有到2月,,aa832b459f8d1166f0070b127a70d98.png,ticket_or_handoff,['订单/合同/报课/收费']
teacher,老师,需求,答案是BC，判学生两个题都错了，那得显示对一个啊，学生看见接受不了,雅思多选题学生答对了一半，显示全错，应该分开显示,,1a06c6217951adfc8e669b20220f3f9.png,ticket_or_handoff,[]
teacher,老师,需求,如果学生3天才听完一篇 不能实时知道自己的问题 学习效果会不太理想 可以设置一个功能，比如播放5遍之后，才可以查看该句的文本吗？,逐句精听可以让学生在答题时看到答案,,,ticket_or_handoff,[]
teacher,老师,bug,上周有很多人反馈说校校上的作业提交之后显示提交失败 但是老师这边是看得见的 请帮忙查看下是不是系统问题 谢谢,自定义作业学生已完成交卷的作业，打开结果页显示未完成,在修改学可以复制连接参数到已完成的作业连接里面就能看到正确答案问题，自定义作业的数据结果比较特殊，之前取判断逻辑上问题,"cc5f50e709ff720882da1ba6be9f13d.jpg,b1e6bf459fc8974c08139f2c9002e0d.jpg",ticket_or_handoff,['作业/布置/批改/反馈']
student,学生,优化,您好，请问学生第2和3篇答题显示用时0秒，但是也都填了答案，可能是什么原因呢？,学生雅思作业答题时长显示0秒,,"8a50a5b7f2ab79f80fdcf7820c49278.png,c499bc149f2dc7381845dd502c3eec2.png",ticket_or_handoff,['作业/布置/批改/反馈']
teacher,老师,优化,你好，请问一下，为什么从年初开始我的电脑端出现这种情况：一个单词会被分割掉？,老师端题库文本内容会被分割，不能显示完整的单词,,27da2022e7420c85969cdedaa340999.png,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,需求,"真题中是有很多关于pottery的题的，但是通过关键词无法搜到。并且我试过别的题库中的常出现的关键词来搜，也搜不到任何信息 1. 首先，只有阅读，没有听力或者其他科目的题； 2. 只有阅读标题中有pottery, 才搜得到，如果是原文/题目中的pottery无法搜到，无法显示。 3. 听力标题中有的uranus为例，题库都无法搜到 我们所有老师的需求是：随时随地都可以登陆系统，通过关键词调出来题库给学生练习，比如说学生地质板块的话题做得差，那我们就需要搜索plate/tectonic等关键词，把题库调出来给学生进行精准练习",无法通过搜索关键词搜索出题库中的题目,,"59f7c7147104537f9aaf6345438c30e.jpg,3f415fac91cf9342c67a44cec18506e.jpg",ticket_or_handoff,"['音频/录音/听力', '题库/录题/单词书/模考']"
teacher,老师,数据恢复需求,我查了这个班上的学员，看报班班级，都没有在这个班级里了,找不到之前创建的班级,老师误删了班级，已回复班级数据,,ticket_or_handoff,['班级/排课/课时/考勤']
teacher,老师,题目问题,剑雅18T3和剑雅18T4的part2重复了，请老师替换下,剑雅18T3和剑雅18T4的part2题目图片材料重复了,,"6682548aee66f8dacb95cd3aa7ce77d.png,be43b960d8040af43d75ffb30ff4314.png",ticket_or_handoff,[]
student,学生,优化,请问这个学生的课表，是不是可以界面设置为上午的课在上面，而不是先显示下午的课，再显示上午的课，虽然这个肯定是学生的问题，但是这个也确实会导致某些马大哈想当然以为他的课是下午2点以后才有,学生首页课表按照时间段排序,,c63c7a8a1f3a693c6caaf1a71c53c87.jpg,ticket_or_handoff,['班级/排课/课时/考勤']
academic,教务,优化,老师好，这个怎么让它消失掉？ 实际排课中，没有从这个班级排课,学生订单已经退费，但是显示余额为负,退的课时费，多加了学杂费,41e0e93e6aabc4c5c3119de1d2611ee.png,ticket_or_handoff,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,入学模考配置,新增雅思入学模考,新增雅思入学模考,,1162f971bfc2aac6924eb5e1c7009e6.png,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,bug,words in context (easy) 73道题如何分开的， 结果只找到了easy 的前40道题。inference (hard) 共35题，要分成 20+15，结果我只能找到1-20,题型训练SAT题目显示不全,录入新的题型后，前端数据没有加新题型分类，解决方法，后端需要写一个接口，动态返回，这样以后有新增题型，前端就不用加了,5ac580c2fb8f5070216294fb4249eb3.png,ticket_or_handoff,[]
teacher,老师,需求,【题型训练】：现在我们可以设置时间。但同时希望能加上这个按钮，倒计时结束禁止答题，我们希望能够自行选择【是否打☑️】,题型训练可以加上倒计时结束禁止答题按钮，可以自行设置,,aa93805f0d638e0c340dd4830af4328.png,ticket_or_handoff,[]
teacher,老师,题目问题,辛苦老师们查看一下这一题目，是否上传时题目缺失了，这一题目目前有问题,SAT2023年11月机考真题读写module1 文法练习 Q13 题目缺失,,,ticket_or_handoff,[]
teacher,老师,入学模考配置,辛苦老师抽空新增一份入学测试 试卷名称:<2024年Roys雅思入学模考(全)-> 听力 剑桥18-T2 阅读 剑桥9-T2 写作 剑桥15-T2. 口语,新增雅思入学模考,,,ticket_or_handoff,"['音频/录音/听力', '题库/录题/单词书/模考']"
academic,教务,优化,普通销售在没有“退费审批”权限的情况下，这个退费管理没有数据，销售会认为有问题,普通销售在没有“退费审批”权限的情况下，退费管理需要隐藏,,9aebb96f922924530c2818d6d03cad2.jpg,ticket_or_handoff,"['订单/合同/报课/收费', '权限/角色/公池']"
academic,教务,优化,账号同时设置了财务+教务身份 为啥数据里不显示财务呢,账号同时设置了财务+教务身份 ，但是数据管理没有显示财务，也不能切换身份,,"b01781b3a9d750216b54f89d1608b3fb_.jpg,ab4d55acbb0dcccd4314737c3935bc33_.png",ticket_or_handoff,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,入学模考配置,你好，雅思入学测试那里可以帮我们加上一套C14T3的只有口语写作部分的测试吗？,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
sales,销售,优化,现在就是我用销售身份进去后写 作这块我加不上批注无法显示批改 痕迹,销售同时有老师的身份，无法批改入学模考,,,ticket_or_handoff,"['作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,题目问题,老师， gre 填空一个句子等价6选2 ， 答案应该是给错了，麻烦勘误一下。,GRE新题型填空阅读机经TEST 16/Easy - Section 2 答案有误,,ae3533a92077e8e9428bfa70c6cf67a.png,ticket_or_handoff,[]
teacher,老师,bug,用手机小程序测，但是因为有信息中途退出去，然后想回去再继续测，但是操作不了又重新来,单词书小程序答题，没有提交退出之后会自动提交显示结果，不能接着做,单词评测在通知服务上，没注意正式会走评测的流程，评测流程里的逻辑没有加上单词书的限制,,ticket_or_handoff,"['题库/录题/单词书/模考', '小程序/公众号/二维码']"
sales,销售,优化,请问学员转正时显示手机号已被家长手机号占用，不能转正，该怎么操作才能转正呢,潜客转正提示家长手机号被占用，需要提示具体是哪个账号占用,添加具体冲突提示,,ticket_or_handoff,['账号登录/密码/手机号']
teacher,老师,优化,"精听作业 没有办法 暂停音频 去做答,像上面的截图，音频的选项 已经背滑上去了",精听作业音频进度条可以固定，材料多的时候不方便暂停,,"e447a0e40978204e825620c085f7ff9.jpg,5c661c232ab7878c3066eb67bd07566.jpg",ticket_or_handoff,"['作业/布置/批改/反馈', '音频/录音/听力']"
teacher,老师,需求,老师好，请教个问题，目前有老师需求导出老师本人的所有课程的课表，目前我看有列表模式的可以选日期，但是老师觉得不直观，视图模式的我看只能导一个星期的，视图模式可以到2-3个月的吗。老师端能开通一个导出权限吗,老师端课表可以增加导出功能,,258893d1f47b666c6aad980422631e9.png,ticket_or_handoff,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,题目问题,辛苦您们修正一下学生反馈的问题，谢谢~,逐句精听材料单词有误,,6404547453648adbca27edde38ddafa.png,ticket_or_handoff,['作业/布置/批改/反馈']
teacher,老师,题目问题,托福TPO10听力原文有误,托福TPO10精听听力原文有误,,image.png,ticket_or_handoff,['音频/录音/听力']
teacher,老师,题目问题,各位老师好，麻烦tpo70lecture3的排序题顺序换一下，原先的是对的，现在的顺序是abcd不对,tpo70lecture3的排序题顺序不对,,3f0dcb2e428e127b81bf6977186f570.jpg,ticket_or_handoff,[]
academic,教务,优化,班级-学员信息部分学员无顾问,班级-学员信息部分学员无顾问,,56772360913e9afa9f6ee48ab57aaba7_.jpg,ticket_or_handoff,['班级/排课/课时/考勤']
teacher,老师,数据恢复需求,你好，今天系统是有出现什么bug么系统上排好的课程在系统上显示不出来，但是导出线下课表的时候是有课程的,课表信息有误，有些学生的课表显示不出来,由于删掉了部分老师助教账号导致,,ticket_or_handoff,"['账号登录/密码/手机号', '班级/排课/课时/考勤']"
student,学生,bug,第4、5、6篇的错题，点不开了,小托福，结果页点击题目无法查看详情,代码报错了,2ad7aa3ebc88ae374d6f39cbafd138fd_.png,ticket_or_handoff,[]
teacher,老师,题目问题,201910PSAT grammar P3 的这俩道题答案错了,201910PSAT grammar P3 答案有误,,"8d77a9a6f0fc3317d02a4706b741620.png,1287c6dbb9b0f28c04b3c79e57546ad.png",ticket_or_handoff,[]
teacher,老师,入学模考配置,老师，麻烦拼套题哈，名字“2级强化上模考”，阅读如下两篇,新增托福入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
sales,销售,需求,设置了未跟进掉入公池的时间，需要恢复数据,需要恢复掉入公池的数据,,,ticket_or_handoff,['权限/角色/公池']
teacher,老师,入学模考配置,可以麻烦帮我们把系统里“入学模考测试”的题目复制一份，名称命名为“语言能力测试”吗？,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,bug,一样的号码出现了4次,潜客名单导入重复导入了4次，也显示成功了,在接口未返回之前，重新又提交了多次。已对接口加了限制：同一个机构，导入功能有一个人同时使用,1561ac043fcfb89dd8e2521d2d5cf451_.jpg,ticket_or_handoff,[]
teacher,老师,优化,unit里面单词顺序不一样,单词书上传后单元里单词显示是倒序,,高中词汇1600.xlsx,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,入学模考配置,各位老师好，麻烦可以帮我们将C15T2的听力阅读写作组一套卷，命名为《基础班阶段模考》吗？放入入学模考版块内～谢谢,新增雅思入学模考,,,ticket_or_handoff,"['音频/录音/听力', '题库/录题/单词书/模考']"
teacher,老师,bug,为什么学生已经做了这个巩固练习，教师端这边还是显示未开始？,学生完成了巩固练习，老师端显示未开始,,"f534f7b0bd00812e198f5ffcd96b71c.png,d3a2e74f123f7677c26e45db32a545f.png",ticket_or_handoff,[]
sales,销售,优化,老师 这个名字不一样 还是找不到这个班，负责销售也没有，我发现名字不同 想问是不是这个原因负责销售也搜不到,销售申请排课搜不到学生对应班级,协助销售搜不到,,ticket_or_handoff,['班级/排课/课时/考勤']
student,学生,题目问题,老师好 学生反馈两套题中的同一篇文章 正确答案不一样 应该以哪个为准呢 麻烦老师帮忙看下 感谢,20160109真题/Passage 第4题答案有误,,"f05943e423a865ecfa6e9a86246a387.jpg,604ee3e4c7e62085650731487ce0fbf.jpg",ticket_or_handoff,['作业/布置/批改/反馈']
teacher,老师,需求,提个意见哈：这里面关联题目和预览题目的顺序，可以变一下，我们是要先确认题目是不是想要的，预览完才能去关联，先关联再预览有点不符合我们放题的流程,作业大纲可以在选择作业时预览,,,ticket_or_handoff,['作业/布置/批改/反馈']
student,学生,bug,麻烦尽快看看怎么回事哈刚看了学生的答题录屏 是到第四和第五部分 就没有出现题目了,GRE数学部分没有题目显示，无法答题,,da8376bfa0a38264c5def912295a98de_.jpg,ticket_or_handoff,[]
teacher,老师,题目问题,9.22（第二套）数学section2. 10题选择a；12题选择c；13题选择a,GRE9.22（第二套）数学section2答案有误,,,ticket_or_handoff,[]
academic,教务,优化,老师，我想问下 这个同一个老师，总课表上的时间 不按照正常时间顺序吗？是按照排课顺序是吗？,课表排序未按时间排序，试听课排在最后,,954e554559d30e187c43dd5cd96902d4_.png,ticket_or_handoff,['班级/排课/课时/考勤']
academic,教务,需求,提一个建议，如果课表里课程后加上老师的名字，就更方便了，另外是学员的筛选那里，如果可以可以增加“课程名称”的筛选也更好,学生课表任务课程后加上老师的名字，学员的筛选增加“课程名称”的筛选,,"ff80d31fb0753475d34bc8e444b0375.png,f79f85d153393b47d6ff67e5634d257.png",ticket_or_handoff,['班级/排课/课时/考勤']
sales,销售,优化,一对一的课程是自动创建班级的，但是申请排课页面看不到,销售端学员股那里可以看到班纳吉，申请排课无法选择,线索所属人才能发起申请，协作销售目前不能申请,"fd537f5ab988a9c033b960648437fc23_.jpg,2d57f99ea5e6d0d0ace0538432666ab0_.jpg",ticket_or_handoff,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,题目问题,9月第一套GRE，数学section2，14题选择CDE；15题是18.06,9月第一套GRE数学section2 14、15题答案有误,,,ticket_or_handoff,[]
teacher,老师,需求,官方 Bluebook：无论是【做题时】还是【看报告】，都是【左文右题】。 xiaoxiao 系统：做题时【左文右题】，【看报告】变成【左题右文】。 咱xiaoxiao系统可以在【五一】之前改成跟官方一致么？,SAT机考结果页需要左文右题，和官方一致,,,ticket_or_handoff,[]
teacher,老师,需求,我们会有模考班。学生模考完我们就讲解。所以老师需要【同时】查看【多个】学生【某道题】选错成了【哪个答案】 但是目前下面这个界面只能显示 ❌，不能显示【错选的答案】。我们必须得点击【单个】学生的页面查看那【单个】学生的情况。没法批量查看。譬如第4题，有三个人错。我们希望在上述界面能【直接】看到这三个同学分别选成了什么。,作业详情页需要显示学生错误的具体情况，如选了什么,,01411a22327138f6b8a2adb492bfbc7.png,ticket_or_handoff,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,bug,这边又出现一例系统提交不了，帮忙看一下,小程序课堂反馈无法提交，提示请选择课堂,pc端选择班级后，小程序端未记录,379daccaf04ca21592fde461ba29e43d.mp4,ticket_or_handoff,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '小程序/公众号/二维码']"
teacher,老师,需求,可以设置取消课程也提醒吗这样老师也可以看到不用一个一个通知,取消课程也需要给老师公众号通知,,,ticket_or_handoff,['小程序/公众号/二维码']
teacher,老师,录入需求,我们刚刚实验了下，自己上传的只能一个单元300个单词👇可以不拆分吗？参考你们系统自带的词表，麻烦帮我们后台上传下，谢谢,雅思词表上传,,,ticket_or_handoff,[]
teacher,老师,数据恢复需求,"误删了学生的作业 有机会恢复吗，一对一账号，作业名称：2/29 Billy PR1RW1, 2/29 Billy PR1RW3",误删了学生账号，需要恢复,,,ticket_or_handoff,"['账号登录/密码/手机号', '作业/布置/批改/反馈']"
principal,校长,数据恢复需求,是不是如果让一个老师不再能看到任何上课记录，只要把她的账号停用了就可以了，能把我刚才删除的老师恢复一下吗,老师账号删除了，需要恢复,,,ticket_or_handoff,['账号登录/密码/手机号']
teacher,老师,需求,从任意的特定范围内随机抽查定量单词 学生先学完范围内的所有单词再进行随机检测,单词抽查作业需要学习所有的单词，再检测抽查的单词,,,ticket_or_handoff,['作业/布置/批改/反馈']
academic,教务,需求,有没有可能调整默认已出勤啊 默认未出勤还要扣钱 有点奇怪..,系统上课后默认未出勤，课消自动计算，能否调整为已出勤,,,ticket_or_handoff,[]
teacher,老师,需求,请问各位校校的小伙伴，课表有没有方法可以同步到icalendar一类的个人日历中呢？小程序查看不是很方便，我习惯手机、电脑里的日程提醒等功能，而且由于课表变化较频繁，要是能随时更新同步就好啦,老师课表可以同步到icalendar一类的等第三方应用中,,,ticket_or_handoff,"['班级/排课/课时/考勤', '小程序/公众号/二维码']"
academic,教务,需求,这笔剩余6小时课程的写作课的订单 我找不到了，我想排课 找不到这6小时，后期系统会升级 自动加入续课课时吗？,续报课时可以自动在班级更新,,,ticket_or_handoff,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
teacher,老师,题目问题,GRE9月23上，这个题目答案错了，应该是A,GRE9月23 第9题答案有误,,1a48bf4010fdc2e8414a55d214733ae.png,ticket_or_handoff,[]
teacher,老师,入学模考配置,你好。 我们的SAT 模拟考， 可以放这套吗？,新增SAT入学模考,,b60ab437fb81cf0d21f2e54931cb9c5.png,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,入学模考配置,老师您好，打扰啦～麻烦您在今天下午3点前为上海校区配置下入学模考测试题（标题：2024春 入学模测） 内容： 听力：剑17 test 1听力 阅读：剑17 test4 阅读 写作：见如下pdf,新增雅思入学模考,,,ticket_or_handoff,"['音频/录音/听力', '题库/录题/单词书/模考']"
teacher,老师,入学模考配置,老师，我这边需要组一套卷子，辛苦安排一下 名称：长沙超级学长内部测试卷 包含：C18 test 1听力p1 p2；阅读p1，写作task2，口语，part 1 基本题型就行。,新增雅思入学模考,,,ticket_or_handoff,"['音频/录音/听力', '题库/录题/单词书/模考']"
academic,教务,bug,我还没有操作其他老师如果操作这位老师的预占我再看老师的课表可以看到预占，其他老师如果预占了时间为什么会有显示,教务要预占这个老师的时间，显示已经预占，但是排课页面没有显示该老师的预占时间,,08b710c0380d3be6bdff39b6a650efb.png,ticket_or_handoff,['班级/排课/课时/考勤']
academic,教务,需求,小助手 请问为什么同一个学生续报的时候就不能分配各科目课时了呢？有点困惑为啥这样设置，系统后台不支持哇？,学生续报可以分配各科目课时,,,ticket_or_handoff,['班级/排课/课时/考勤']
teacher,老师,bug,麻烦哪位给解释一下为什么小程序点选教师选不了呢,老师端小程序查看反馈不能选老师,,8cc3fcc64a05e459fa7371abd162531.jpg,ticket_or_handoff,"['作业/布置/批改/反馈', '小程序/公众号/二维码']"
teacher,老师,优化,我测试了下入学模考的GRE链接有错漏，我看的是第一套题的，麻烦尽快修改下，同时也核对下看看有没有其他的错漏,GRE入学模考页面未按照官网提示优化,,"f3a1c7ef6feaa4698d7ca6183ca8146.png,43243736a92e388db255300d6ad953a.png,d29428fab0ed65da42d0d3d34f03e7b.png",ticket_or_handoff,['题库/录题/单词书/模考']
sales,市场,需求,老师可以帮我导一下这份吗,需要导入潜客数据,,,ticket_or_handoff,[]
principal,校长,入学模考配置,需要帮忙上一套测试题，名称：嘉华24年春季入学测试，听说读写都用剑桥的真题,新增雅思入学模考,,,ticket_or_handoff,['题库/录题/单词书/模考']
student,学生,需求,老师好，请问，咱们系统能加上多邻国的测试吗？,系统加上多邻国的测试,,,ticket_or_handoff,[]
student,学生,题目问题,学生反馈TPO20-L1这道题没有播放example 上面录音显示只有5秒,托福听力TPO20-L1音频有缺失,,b50cafb736f1bc4c62032f1da3e343a.png,ticket_or_handoff,"['作业/布置/批改/反馈', '音频/录音/听力']"
teacher,老师,bug,评分标准是不是有问题啊，这个学生阅读错一题，咋只有25分,托福分数有误,题型有误,,ticket_or_handoff,[]
student,学生,bug,家长说做入学测试没有图片,入学模考图片没显示,,f0ec2206a5e83e896875fdd3d67a8ab.jpg,ticket_or_handoff,['题库/录题/单词书/模考']
student,学生,bug,测试做好，一直提交不了,入学模考无法提交,学生提交的数据中，身份（登录）信息异常，所以在提交时（或交卷）时，会有错误提示,fd25c051fdfd8c1f4199678301d58b7.jpg,ticket_or_handoff,"['账号登录/密码/手机号', '权限/角色/公池', '题库/录题/单词书/模考']"
student,学生,bug,您看一下这个学生是有错题的，就是但是他的那个错题本里错题显示是0啊，详情就更没有了,学生端错题没有数据,,ab78b6cc84c0489bc425d88a1bc5296.jpg,ticket_or_handoff,[]
teacher,老师,bug,您好，麻烦您帮我修改学生的答案是正确的,学生结果系统答案判错,,"bc0b31c08778c8d036d31e5035c7be6.png,8f6d307cc895c6a3b510e836c4c9852.png",ticket_or_handoff,[]
teacher,老师,录入需求,单词录入需求,单词录入需求,,,ticket_or_handoff,[]
teacher,老师,数据恢复需求,不好意思，不好意思，还是麻烦您一下，我把信息发您 老师账号：18096159050 作业班级：托福一对一 作业名称：沈诗茵 2.24 模考,误删了作业，需要恢复,,,ticket_or_handoff,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,bug,学生的American是写在句子后面的，但是批改的时候American就是自动跳到了句子的首位，看一下是什么原因。,逐句听写学生答题填写的单词是在最后的空，但是批改时显示在前面,,c4cd29c0f1ed8eb8c2124cac4ea132d.jpg,ticket_or_handoff,['作业/布置/批改/反馈']
teacher,老师,优化,这是考完之后查看的界面：右边那个图，怎么都看不到。哪怕我已经 comman ➕ 减号，缩小屏幕显示范围，还是看不到。,sat结果页图片显示不完整,,176f28edb5eac622ae91994a7b91777.png,ticket_or_handoff,['权限/角色/公池']
teacher,老师,题目问题,这里的阅读答案也错了,pte答案有误,,"9007287e13c7d876cf0a067b77eec40f_.jpg,bf67cc72b816dcc0fc4e528e8083eef3_.jpg",ticket_or_handoff,[]
teacher,老师,入学模考配置,1.托福，当前后面那套拉到前面来，2变成备用版本，做好标注命名为：新托福入学测试（备用版本） 2.雅思：拉到所有考试的最前面！只保留入学测试的三套，剩余【学中/结课模考专用】五套能否新开板块？是否能放到简介到上面？ 3.GRE顺序调整，1在前面，2在后面 4.SAT重新命名，删掉“Harder” 5.ACT重新命名，删掉括号内容 6.小托福、SAT括号内容删掉 7.PTE模考再添加一套，一个命名为PTE入学模考；一个命名为PTE入学模考（备用版）,入学模考调整,,,ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,bug,11/13/14/15的阅读选词 不对,pte阅读选词显示不全,,b447d348a1aa10d6c8f3a24c2bfa0bbf_.jpg,ticket_or_handoff,[]
teacher,老师,bug,阅读第7/8题 学生都对了 为什么正确率是67%呀,pte阅读答对了正确率显示只有67%,,423bfffadb74abe90e1df50229c48db.png,ticket_or_handoff,[]
student,学生,bug,你好，学生模考遇到这种情况，请问是什么原因呢,雅思11T4 part3 题目未显示，ai考官没声音,录题格式有误,"81229205cef845a23467d8353793587f_4.mp4,75691ed3d647cf15c2758285d66d7a2a_.jpg",ticket_or_handoff,['题库/录题/单词书/模考']
teacher,老师,数据恢复需求,您好， 学生完成的作业， 不小心在布置的地方删除了上海浦东校区， 作业名称是 2.22 模考 布置的班级是 0121托福基础班 学生 连鑫 老师账号是 17800159523,误删了学生作业，需要恢复,,,ticket_or_handoff,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
teacher,老师,题目问题,这个题目的答案好像错了 能不能后台更改一下,Lecture-1/听力真经3 Actual Test10 第3题答案有误,,2b696fdb426de36be3895f9e9f20f7e.png,ticket_or_handoff,['音频/录音/听力']
teacher,老师,bug,您好，请问一下我们前面 录进去的题目，以前是可以找到并且可以设置的，今天在SAT设置页面找不到这些题目了，不知道是什么原因呢？,机构题库筛选试卷类别没有数据,,"39b9c44d10b783dc34ca0b6da84c8e5.png,96f335a086a3c33139ea3e3463bacd8.png",ticket_or_handoff,['题库/录题/单词书/模考']
sales,销售,数据恢复需求,需要恢复流入公池的数据 逐条操作有些麻烦,需要恢复下2月1号之后流入公池的潜客数据,,,ticket_or_handoff,['权限/角色/公池']
teacher,老师,需求,那能提个需求不，我们觉得这个考勤设置不太合理，而且不能满足我们的考勤需求 首先既然是考勤就有体现出考勤的功能，目前只有已出勤和未出勤，不能直观的看到迟到早退的时间 其次补考勤这个，我既然使用考勤功能就是想知道几点上课几点下课，上过的课都能补上，那我考勤的意义是什么呢？我10-12的课，可以规定一下签到时间范围么？ 只能9:50-10签到，其他时间都不允许签到了,系统课程签到可以规定时间,,,ticket_or_handoff,['班级/排课/课时/考勤']
teacher,老师,bug,您好，学生在做题过程中会出现答案无法保存的情况，请问是什么原因呢？,机构题库sat填空题答题提示答案上传失败,,,ticket_or_handoff,['题库/录题/单词书/模考']
