反馈日期,客户问题,问题描述,客户名称,所属功能,端口,问题类型,处理进度,反馈进度,测试处理状态,Bug状态,测试备注,备注,附件,周
2026/06/10,你好 我们今天学生做测试，听力直接从11题开始播放，前10题没有声音的。但是结果依旧全部都算上了 ,从描述看是网不好,航野教育,答题,学生,使用问题（t）,,,待确认,,,,,2026W24
2026/06/10,基础练习板块是大概更新截止到什么时间,题目更新疑问,NewWay,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,还有一个问题，现在好像每次进入都有重新输入网址，可以第一次输入之后默认保存吗,客户端登录疑问,洒脱教育,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,最新的单词没有读音,反馈单词没有发音,广州花笙,单词书,学生,使用问题（t）,,,待确认,,没有音标的单词，目前没有显示发音按钮，今天会处理,,,2026W24
2026/06/10,您好，请问我们学生自己纸质写的作文可以上传到校校系统使用ai智能批改么,AI批改疑问,开璞教育,AI批改,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,请问这种多个list的单词书，想要一个总和的list需要怎么上传呢,单词书上传新增单元,洒脱教育,单词书,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,之后网站更新 可不可以给一个小提示 就是学员账号快过期的时候  给教师端口提示,账号过期提示（教务端有）,秒懂,员工权限,教务,功能操作疑问（s）,已处理,已反馈,,,,跟EVA老师说不明白，计划下次回访沟通的时候统一沟通明白,,2026W24
2026/06/10,这个ai可以跟ai助教一样，支持一下移动或者隐藏嘛？我好像拖不动,AI小新能不能移动,秒懂,AI小新,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,咱们有6月北美的么？,SAT题目需求,玥玥老师,系统题库,老师,题目需求（s）,,,,,,,,2026W24
2026/06/10,您好！我给学生布置作业，学生那边会显示时间限制，比如一篇文章2分多钟。请问可以去除这个时间限制吗？,取消倒计时结束禁止答题,清流教育,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师你好 想问下单词测试环节 比如我第一个单词暂时想不起来啥意思 然后就点下一题了 那后面要怎么返回前一题呢 之前好像是可以操作的 现在学生反映不行了,单词闪卡功能疑问,爬藤,单词书,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,写作这个题的这个框和按钮是什么意思呀,反馈不能剪切粘贴,秒懂,答题,学生,使用问题（t）,不处理,已反馈,不处理,,,官方考试是不能复制粘贴写作题干的，只能复制粘贴学生自己写作的内容,,2026W24
2026/06/10,问一下，我们校校系统里1小时英文能力测试，可以用IPAD做吗,ipad答题,新航道上海,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,之前反馈过的单词抽查，从作业里面再次布置的话 顺序和内容还是一样的，这个近期能否解决呢,单词抽查再次布置的时候，顺序不会改变（现在再次布置就是将这份作业再次布置出去，不会改变作业内容）需求是抽查的时候能改变内容随机抽查,上海蘑菇,作业管理页面,老师,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,请教下：今天我的电脑基本上点不开音频，不知道是什么原因,客户网速问题,杭州肆墨,题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师您好，精听作业，学生作答了，显示黄颜色是什么意思呀？我对照了一下答案也没错啊，为什么不显示绿色呀,精听作业结果页显示疑问,英廷,结果页,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,hello，李老师，中午好呀～这个例句是不是用的不太对？regular名词意思是常客，periodical是期刊,同义词替换，题干词性和正确答案选项词性不匹配,玥玥老师,基础训练-单词,老师,使用问题（t）,,,待确认,,等回复,,,2026W24
2026/06/10,我筛选是5.29-6.9数据，下面作业情况是统计到了6.8号，作业完成率是百分百，这里是11天学习情况，每天都是7项作业，包含11天，总计就是77项作业，统计作业比完成作业少22个，刚好是视频作业数,反馈报告中，视频课件计算方式不一致（完成数计算，总数不计算）,秒懂,学习报告,老师,使用问题（t）,,,待确认,,,,,2026W24
2026/06/10,起码把那个自动跳转弄得可以回复,需求学练模式作答repeat题时，学生能反复作答（现在是会自动跳到第二题的）,上海蘑菇,开放题库,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,还有一个是，单词的学习模式过完之后，针对模糊和不熟练的词，能不能设置单独训练啊？,需求单词书学习模式结束后，能选择模糊/不认识的单词，单独重背,上海蘑菇,单词书,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,你好，现在系统抽词测试英译中的情况下，输入拼音出现无法显示的问题，,反馈作答时输入了拼音字母，在结果页上不显示,上海蘑菇,基础训练-单词,学生,使用问题（t）,不处理,已反馈,不处理,,,倒计时到了,,2026W24
2026/06/10,以及还有出现直接自动跳过某些单词的情况,反馈单词作业自动跳过,上海蘑菇,基础训练-单词,学生,使用问题（t）,不处理,已反馈,不处理,,,自己点了两下,,2026W24
2026/06/10,老师，这个课表里有三个班，但是学生信息下面确实是只有两个班的，这里重复的数学可以删掉吗,班级设置,领鹿教育,班级设置,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,请教一下 排课的时候 系统里保存了以前的排课记录，这些过去的时间删不掉 怎么办,反馈智能排课不能修改时间,youtoo,排课,教务,使用问题（t）,不处理,已反馈,不处理,,,,,2026W24
2026/06/10,学生口语作业提交不上是什么原因呀,反馈口语无法提交,图钉教育,答题,学生,使用问题（t）,不处理,已反馈,不处理,,,,,2026W24
2026/06/10,你好 我刚测试了一下，发送了一个测试连接，现在测试已完成，一般多久会把这个学生的测试结果通过微信公众号推送给我呢？ 我这边等了2-3分钟 还没有收到学生的测试结果推送 ,公众号通知问题，老师账号错了,麦迩威教育,公众号通知,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,我有一个学生做了一个测试，只做了一个雅思听力。他提交了他当时没有选择对应的顾问。我把手机号发群里，麻烦老师帮我把测试结果发给我吧,分配销售,津桥,公池,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师 反馈一下两个问题：1️⃣现在单词的中文意思跟英文在同一列，以前中文在右边学生可以手动挡住英文，回忆中文意思，现在只能遮挡中文,反馈希望UI调整到之前那样。因为之前英文单词都是显示在左边,新航道杭州,单词书,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,2️⃣现在背单词不能返回上一题,单词闪卡更新后取消了上一题,新航道杭州,单词书,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,请问这个题库分类，这里不能新加我们想给学生录入的考试类型是吗,系统题库能不能自定义科目,楹冠国际,系统题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,老师，为什么会出现这个情况,班级和员工创建问题,新航道苏州,员工管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,只能看到刚布置的这个,反馈不显示布置记录,至真国际,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,我们的模考报告 也可以把这个退出次数放进去 老师们,反馈希望学生能看到自己答题时的退出次数,Keystone,结果页,老师,功能需求和优化（s）,,,,,,,,2026W24
2026/06/10,老师，为什么这个微积分的课程在7月是绿色的，到8月变成蓝色了,课表颜色问题,Keystone,课表,教务,使用问题（t）,,,待确认,,,,,2026W24
2026/06/10,我这边打开看不到欸,反馈基础水平测试都打不开,探月,入学模考,校长,使用问题（t）,,,待确认,,,,,2026W24
2026/06/10,下面学生这里出来这样的,反馈机构题库显示不对（新托福）,TOEFL PASS,机构题库,学生,功能操作疑问（s）,客户未回复,,,,,等老师提供问题截图,,2026W24
2026/06/10,老师们好，请问系统上什么时候更新雅思剑桥21呀？,剑桥雅思21更新,思力课,系统题库,老师,题目需求（s）,,,,,,,,2026W24
2026/06/10,请问你们系统现在不稳定吗,反馈答题界面无法进入,英廷,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/10,雅思蓝色版OG TEST1/听力 (PRESTON PARK RUN) - Section 1,雅思多个答案,上海蘑菇,系统题目,老师,题目数据问题（t）,,,,,,,,2026W24
2026/06/10,您好，我想问一下，这为什么会判错哇，这不是写一模一样吗？,单词书判断逻辑问题,肆墨教育,单词书,老师,Bug（t）,,,,,,,,2026W24
2026/06/10,入学测试不行的？,基础水平测试无法打开,维特利,入学模考,学生,使用问题（t）,,,待确认,,,,,2026W24
2026/06/10,老师您好，请问这两套听力和阅读的文档及音频可以提供一下吗？想给学生做纸笔的练习[合十],雅思pdf,,,,,,,,,,,,2026W24
2026/06/09,你好，请问我这个课表好像出问题了能帮我查看一下吗？,老师自己电脑时区设置的不对,北外,课表,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师好，我发现一个问题[尴尬]，我打开题时，发现其有专注模式，需要下载。所以我下载了网站在电脑上，现在我可能需要您校网址来打开作业[合十],客户端疑问,寄托,客户端,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,词汇点进去不知道要怎么做？没有任何引导到下一步的按键,从描述看是学生自身操作问题，需要出一个单词作业的使用指南（学生端）,秒懂,基础训练-单词,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,学员反馈进不去网站 目前人在马来西亚 是什么原因呢,海外学生登录问题,秒懂,登录,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09," 麻烦更新一个验证码",通用验证码,PDA,其他,老师,查询需求（t）,已处理,已反馈,,,,,,2026W24
2026/06/09,请问一下6月这次考试的北美卷什么时候可以进系统呀,SAT更新,PDA,系统题库,老师,题目需求（s）,,,,,,,,2026W24
2026/06/09,老师，我还有一个问题，他精听不是能选择，就是第一个是精听，就相当于是整篇逐句精听，就是一句一句的嘛，但是逐句的话，它就是能选，比如说26年4月什么的。但如果是精听的话，就整篇精听的话，我怎么知道他这一篇是比如说几几年几月的呢？是他是真题还是模拟题，我应该怎么看呢？,精听题目相关疑问,领课教育,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,你好，PSAT考试的分数区间是320-1520，系统里的分数区间好像不太对啊,PSAT分数问题（沟通记录见附件，这个要李璐这边处理）,北京寰语,系统题目,老师,功能需求和优化（s）,,,,,,,image.png,2026W24
2026/06/09,你好，请问想要给已经入读的学员新增模考作业，为什么选择班级内没有目前学员的班级？布置基础练习的时候还有显示学生的班级情况,课程关联,立斯立行,课程管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师们，可以发一个教务系统使用手册给我吗,教务端使用方法,孚外教育,其他,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,入学模考就是把这里的网址发给学生就行对吗,入学模考流程,晞泽教育,入学模考,校长,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师们，请问咱们是否有可能实现把学生每次完成的口语作业“题目+答题内容”文本一键导出？,"需求结果页pdf导出
老师回复的场景：我们需要根据学生批量答题样本，分析学生答题特征，尤其是总结常犯的典型错误，进行整体教学与改善。
现在系统可以做到每个题目给点评，像你们的AI点评也是比较准的，但是比较散，很多学生也不会去看，即便去看也很少总结。 
所以我们希望有这种一件导出文本，一来是由老师总结出问题；二来是随时间推移，关注改善情况。 为达到这个目的，整体化的学生答题样本就很重要。",承读教育,结果页,老师,功能需求和优化（s）,,,,,,,,2026W24
2026/06/09,系统是出问题了吗,反馈小程序单词作业没有上一题了，而且有单词不发音,维特利,小程序,学生,使用问题（t）,客户未回复,,待确认,,,等客户回复具体哪个单词没有发音，推测可能也是小程序音频发音慢的问题导致的,,2026W24
2026/06/09,https://edu.yimiaodong.com/org/practice/practice.html?hwkid=11987742&stuid=270302&teacherid=&wrcd=1&xiaov=1779814459,音频错乱导致答错,秒懂,基础训练-单词,学生,Bug（t）,已处理,已反馈,处理完成,P1,闪卡练习后，作答音译中作业音频获取对应不上,不处理客户数据,,2026W24
2026/06/09,"老师，这个学生做了销售身份发的测试，但是找不到，可以帮忙查一下吗

号码：13858897979",入学模考查询,新航道上海,入学模考,销售,查询需求（t）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师，这个教室信息我想修改编辑名称是不能操作吗？,如何修改教室名称（双击）,孚外,系统设置,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师好。 请问GMAT 有题目吗,GMAT题库,悠学辉,系统题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师，校校中的托福有点问题，学生做题的时候少一个module就会自动跳到听力部分了[苦涩],阅读M1结束后自动跳转到听力了，没有阅读M2,新航道,答题,学生,使用问题（t）,,,技术-确认中,,,,,2026W24
2026/06/09,老师 GRE的verbal题目，助教端口布置 不现实答案，多选题的正确答案都被隐藏了,GRE答案显示问题,飞虎,结果页,老师,Bug（t）,已处理,已反馈,处理完成,P1,,,,2026W24
2026/06/09,学生学这个单词，不能跟着念录音了,需求单词训练增加英译音（看单词念英文）,楹冠国际,基础训练-单词,老师,功能需求和优化（s）,,,,,,,,2026W24
2026/06/09,国外的学生，出现这种情况是要挂VPN嘛,学生打开系统网页后出现安全提示,秒懂,登录,学生,使用问题（t）,未复现,,未复现,,,从学生页面看着像安全设置的问题，需要确认,,2026W24
2026/06/09,老师，我们学生用这个手提，一直登打开不了校校系统，请问怎么处理,反馈登录系统白屏,东西方,登录,学生,使用问题（t）,客户未回复,,,,,,,2026W24
2026/06/09,咱们新托福布置能不能听说读写一套一起布置呀 还是说只能分开来一个个布置,如何布置整套新托福作业,田心教育,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,想问一下这个用手机绑定小程序的话 也能享受到这些功能吗,单词闪卡功能疑问,秒懂,基础训练-单词,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师，我让学生做完入学模考后，学生的界面是这样，我要在哪里看到学生的模考成绩呢？,入学模考查询,BMC,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,请问为什么现在公池批改为什么不能改成绩了？,如何修改入学模考成绩（老师操作问题，用的是手机，不知道要点一下）,GE-Elite,结果页,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师们，如果一开始录入学生收费的金额弄错了，后面要怎么改？,订单退费重录,格橡树,订单,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,请问入学测试结果从哪里看,如何查看入学模考结果,蚌课堂,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,"各位老师反馈一个问题，我们目前下载了Windows版的校校系统给学生使用。比如学生在做单词背诵题时，会出现做题时题目要求和实际题目要求不一样，是否是系统漏洞呀？
比如学生做题时，是要求写出英文单词；但是最后查看答案时，题目是要求写出中文意思。这类错题在整个做题过程中出现了很多次。",布置的单词测试形式和实际显示出来的不一样,有鱼,基础训练-单词,学生,Bug（t）,已处理,已反馈,处理完成,P1,显示问题,,,2026W24
2026/06/09,请问ipad可以下载app吗,反馈需要客户端ipad版本,南京七嘉,客户端,老师,功能需求和优化（s）,,,,,,,,2026W24
2026/06/09,下午好~想问下 系统的托福真题 听力部分：整套做题 学生反馈announcement部分 音频没讲完整 只听到最后一句 以及 阅读部分：单独设置日常篇章部分 做题时长和整套做题时  时间是一致的不 有学生反馈时间有点短,需要先确认下具体问题原因,守壹私塾,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,请问这长难句怎么这样了？,反馈长难句作业都变成SAT题目了,唯学教育,结果页,学生,Bug（t）,,,待处理,优化,在布置作业的时候，选择的sat机考，需要选择普通模式，才会是长难句。这里技术会优化一下【机构题库，需要加入题型判断，普通作业应不能布置成sat机考】,,,2026W24
2026/06/09,你好，请问一下学生做托福口语作业，录音过程中显示没办法录了，是什么原因呢,反馈口语无法录音,MHT国际,答题,学生,使用问题（t）,客户未回复,,待确认,,等回复,,,2026W24
2026/06/09,弱弱问一句，SAT六月份题库今天能上嘛，我们老师明天聚到一起教研，正好希望讨论一下呢,SAT题库更新,英廷,系统题库,老师,题目需求（s）,,,,,,,,2026W24
2026/06/09,想通过这个系统给学生做个雅思的模测，流程可以发给我一下不？,如何发送入学模考,麦迩威教育,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,17336765377 这个号码能帮我们看一下 学生说做完测试但是我搜索不到,入学模考查询,新航道杭州,入学模考,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师 我们有同学今天做听力套题，频繁出现这个页面，听力做不了了,反馈口语无法录音,北京寰语,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,"请问学生选班时关联不了订单，是啥问题？
之前是选了班的，但是已经系统操作移出来了，重新选班还是不能关联订单",订单录入的时候选错班级了,朗思教育,订单,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,现在视频课需要下载吗,从描述看是布置作业的时候勾选了强监管模式,秒懂,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师好，请问助教端分享的测试链接，结果在哪里看？,入学模考查询,新航道上海,入学模考,销售,查询需求（t）,已处理,已反馈,,,,,,2026W24
2026/06/09,现在listen and repeat的这个作业有没有复盘模式,老师想要学生能自己反复录。就是新托福repeat题有多个小问的情况下，学生能自己反复录某个小问（现在情况是学练模式，录完一个小问就会跳到第二个小问，不能反复录）,上海蘑菇,答题,学生,功能需求和优化（s）,,,,,,,,2026W24
2026/06/09,请问这个类别可以自己设置吗,如何新增机构题库科目,楹冠国际,机构题库,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师我们收到这个是意味着啥呀哈哈 也看不到是那个新学员,公众号通知问题,新航道,公众号通知,销售,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师打扰了，之前可以在教务端看到学生的二维码给同学绑定，今天登录后不见了，是不是升级后只能让同学登录后绑定，不能想之前可以发送带名字的二维码了,学员界面怎么看家长二维码,维森教育,学员管理,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,正确率系统无法自行核对,反馈听翻无法计算正确率,乐普思,结果页,老师,使用问题（t）,客户未回复,,待确认,,,等老师提供结果页,,2026W24
2026/06/09,另外老师，想请问这里是怎么考量或有什么官方说明吗？,新托福计分规则问题,BESt学社,系统题目,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,这个看起来不错，不过我的系统账号是没办法看到具体情况的哈。这些词汇是新托福真题词汇吗？,新托福单词书,清流教育,单词书,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,你们学习报告的完成率140是怎么算出来的奥,反馈学习报告作业完成率超过100,秒懂,学习报告,老师,使用问题（t）,不处理,已反馈,待确认,,学生可能作答了作业截至日期在筛选时间外的作业，就会导致完成率超过100%,,,2026W24
2026/06/09,这种情况模考自动掉了 后面没法做答 是怎么回事呢@校校助理 ,等老师提供结果页和学生账号,布谷龙途,答题,学生,功能操作疑问（s）,处理中,,,,,,,2026W24
2026/06/09,17336765377  这个号码点击了公池搜索 还是显示没有，只有去年的一个测试,入学模考查询,新航道杭州,入学模考,销售,查询需求（t）,已处理,已反馈,,,,,,2026W24
2026/06/09,学生在做听力的时候出现了这样的情况，重新布置之后仍就这样，请问是怎么了呀？,学生网络问题,硕果国际,答题,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/09,老师您好 学生反馈这个词单有的单词没有发音,单词不发音,独课,单词书,学生,使用问题（t）,,,待确认,,,,,2026W24
2026/06/08,怎么让老师看一下主观题部分是否需要调整AI算分,批改老师如何查看入学模考结果,渊学通,入学模考,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,这个词表 学生说是按照一个喇叭放音 然后写中英文 但是为什么会对不上号？是有bug吗,音频错乱导致答错,南京学了么,基础训练-单词,学生,Bug（t）,已处理,已反馈,处理完成,P1,闪卡练习后，作答音译中作业音频获取对应不上,不处理客户数据,,2026W24
2026/06/08,老师 我给学生布置了中译英的单词作业 我和学生打开作业右边这一栏没有办法填写英文 换了浏览器也不行,单词作业显示不完整,谨福教育,基础训练-单词,学生,使用问题（t）,已处理,已反馈,处理完成,P1,单词中文释义过长后，显示问题,,,2026W24
2026/06/08,咱们的系统在5月13之前的托福题是模拟题吧，我们有个学生当时考了3.5分,入学模考题目疑问,清流教育,入学模考,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,您好，学生更新了谷歌浏览器后单词默写的任务加载不全了，这种情况怎么解决呀,单词作业显示不完整,拓君达,基础训练-单词,学生,使用问题（t）,已处理,已反馈,处理完成,P1,单词中文释义过长后，显示问题,,,2026W24
2026/06/08,https://edu.yimiaodong.com/org/practice/practice.html?hwkid=11955017&stuid=276160&teacherid=28896&wrcd=1&xiaov=1779814459,单词书词性错误（需要看下是系统单词书还是机构自己上传的）,秒懂,单词书,老师,使用问题（t）,不处理,已反馈,不处理,,,,,2026W24
2026/06/08,第一个，学生端，学生有错题怎么订正,学生如何布置错题给自己,领课教育,错题分析,学生,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,第二个，学生端，听力应该怎么精听,老师如何布置精听作业,领课教育,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,提个小建议，题库中重复的题目是否可以只录一次，像这几个题目都是一样的，比较干扰布置作业。,早期题目重复问题,承读教育,系统题目,老师,其他,处理中,,,,,李璐处理,,2026W24
2026/06/08,老师您好呀，想问一下智慧学习系统3个月有效期到期后，想要续费的话是怎么收费呀~,学生账号续期,高顿紫藤,学生账号,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,另老师反映说无法给学生布置题，请问要怎么解决,反馈无法布置作业,清流教育,布置作业页面,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,我有个学生做了校校测试，当时显示未交卷，后面分数显示4分，我这边给他点了提交试卷之后，分数变成了5分,从描述看是主观题提交后AI批改过了,环球北京,结果页,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,老师好，我看系统在布置任务时新增了一个强监管模式，可以详细介绍下这个功能吗？还有新增了可下载的电脑客户端，与纯网页版的对比，这个功能和优势，辛苦介绍说明下呗，感谢,客户端功能疑问,啄木鸟,客户端,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,老师，请问下学生之前是雅思课程的，然后学生转托福了，系统里要布置做题的话，是要怎么换一下课程么,订单录入和班级学生布置作业问题,朗思教育,班级学生,教务,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,老师好，请问单词卡中点击 认识/模糊/生疏会有什么不同的用处吗 ,单词功能更新疑问,飞虎,单词书,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,麻烦新生端口，C卷的阅读按这个安排进行调整，谢谢~,入学模考配置,洒脱教育,入学模考,老师,入学模考配置（t）,,,,,,,,2026W24
2026/06/08,这个时间，跟其他的不一致吗,入学模考题目时间,洒脱教育,入学模考,老师,功能操作疑问（s）,已处理,已反馈,,,,,,2026W24
2026/06/08,最新的真题是几月的，也可以加进去吧,入学模考配置,清流教育,入学模考,老师,入学模考配置（t）,,,,,,,,2026W24
