audience,port,type,question,desc,answer,attachment,bucket,categories
academic,教务,使用问题,请问为什么同时段同一位老师可以排进去两节课？这导致我们课时计算错误了,同时段同一位老师可以排进去两节课，没有冲突提示,排已过时间的课程，是不计入冲突计算,45c60cd20c53bb556ffce7fdb6d9539.jpg,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,老师你好，想问一下，我传单词上去，最后一个单词一直是这个词，但是后面还有400多个单词都不显示,单词书上传词语显示不全,每个单元最多300词,290d5f13838a7fe4ac492923aadb9f2.png,kb_candidate,['题库/录题/单词书/模考']
academic,教务,使用问题,这个板块的数据导出来，为什么数据会出现不全的情况呀，有的学生里面就是没有的,学生消课课时，有部分学生是没有的,班级都是没有学生的，在数据统计-学生消课课时这里就不会统计进来,029f3fb247be96c7057e0e3ff6acd56.png,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,操作疑问,麻烦问一下，公池里面的模考怎么分配给指定老师批改？,公池里面的模考怎么分配给指定老师批改,已发送帮助中心文档,,kb_candidate,"['作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,您好，请问系统上GRE的作业内容如何布置呢？,系统上GRE的作业内容如何布置,创建GRE课程，关联GRE题库，创建GRE班级，将老师和学生加入班级，即可布置,,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '题库/录题/单词书/模考']"
sales,销售,使用问题,我的账号只能分配给我自己，你们再看一下怎么处理,销售只能把潜客分配给自己,普通销售只能分配给他或者下属，需要添加下属,,kb_candidate,['账号登录/密码/手机号']
sales,市场,操作疑问,你好，市场端口录入资源没法选择销售，这个可以增加一栏选择负责销售吗,市场端口录入资源没法选择销售,可以给市场一个潜客分配的权限，可以分配给销售,,kb_candidate,['权限/角色/公池']
teacher,老师,操作疑问,老师，咱们自己录入系统是不是存在计分问题啊，老师，咱们自己录入系统是不是存在计分问题啊,自有题库分数有问题，需要有分数换算,已发送帮助中心文档,,kb_candidate,['题库/录题/单词书/模考']
academic,教务,操作疑问,我们想设置一个老师可以去批改公池内学生的入学模考，但是不希望这个老师看到这些学生的联系方式，这样改怎么设置呐？因为入学模考的权限分在销售下面，销售没有关闭手机号码的权限,设置一个老师可以去批改公池内学生的入学模考，但是不希望这个老师看到这些学生的联系方式，应该如何设置,可以给这个老师一个销售的身份和一个教务的身份，只勾选公池和查看入学模考，这样就看不到学生手机号码,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '权限/角色/公池', '题库/录题/单词书/模考']"
student,学生,使用问题,上午还有一个学生也是 扫了好几次才签到成功,学生扫码签到，显示的是数字,签到二维码需要登录小程序扫,5c3bf0076c65af21b9af5bf440108fb.jpg,kb_candidate,"['账号登录/密码/手机号', '小程序/公众号/二维码']"
academic,教务,操作疑问,今天帮我们看看为何我们课程上架后 小程序不显示,课程上架后 小程序不显示,小程序报课设置可以修改为允许未注册的学生报名,e398f848013280b2bfd6c8b2c85feb2.png,kb_candidate,"['订单/合同/报课/收费', '小程序/公众号/二维码']"
academic,教务,操作疑问,但是只要是线上学生 我选线下课也还是无法选择已经有的教室,排课不能选择教室,有多个校区，该校区下没有设置教室，可以在系统左侧导航栏底部设置-教学相关-编辑上课地点，设置该校区下的教室信息,4e13bb95874cd15ea04be09dd022179.png,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,操作疑问,问一下，已经布置的作业能不能修改？改提交时间之类的？,布置作业能否修改时间,时间标题可以改的，内容不能改,,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,老师找不到入学模考详情,老师找不到入学模考详情,校长、销售管理员在公池查看,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,使用问题,模考时，听力可以右键标记高亮，但选择文字时，可能鼠标一移动，被选文字就失去了被选状态,模考时，高亮标记后，选择文字，鼠标一移动，被选文字就失去了被选状态,被选文字中包含高亮的文字，会出现这个问题，因为高亮的文字已经被选过了,,kb_candidate,"['音频/录音/听力', '题库/录题/单词书/模考']"
academic,教务,操作疑问,我有个学生帐号到期了，我忘记在哪里延期了，麻烦告诉我，谢谢,学生账号如何续期,引导查看帮助中心文档,,kb_candidate,['账号登录/密码/手机号']
teacher,老师,操作疑问,学生学习两门课程，GRE和雅思，但是系统只能布置GRE的作业，需要怎么添加，才可以布置两门作业,学生学习两门课程，如何布置两门课程的作业,创建不同各科目班即可布置作业,,kb_candidate,['作业/布置/批改/反馈']
academic,教务,操作疑问,我在系统上要新增学员 但是发现录入信息的时候有问题 无法输入手机号,学生账号录入不了手机号,没有学生联系方式查看的权限,c8f9b802583c650e70f6b51391ba211.png,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
principal,校长,操作疑问,请问我们教材/助教主管老师可以如何总览查看老师们的反馈吗？就是看哪些课程还没有发反馈,如何查看老师的反馈数据,数据——老师分析——查看详情可以查看,,kb_candidate,['作业/布置/批改/反馈']
academic,教务,使用问题,为什么有的有家长二维码有的没有.这个家长电话也填写了，就是没有家长二维码这个对话框,填写了家长号码，但是没有家长二维码显示,这个学生没有填写家长号码，只填写了家长姓名,"7538908063c8a587e33e79412d3779e.png,00f6edc7cd220be8963c6e85a5fa437.png",kb_candidate,['小程序/公众号/二维码']
principal,校长,操作疑问,学生补课如何设置,学生补课如何设置,一对一的课程新排，单独的学生可以调课,,kb_candidate,[]
principal,校长,使用问题,老师传文件到云盘，布置作业没有办法选择，又重新上传，似乎没有显示文件,老师传文件到云盘，布置作业没有办法选择,未使用谷歌浏览器,,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
student,学生,使用问题,有学生反映点了continue 键后没反应,学生反映答题点了continue 键后没反应,未使用谷歌浏览器,3434974f572cfea111fb931155615ce0.mp4,kb_candidate,['浏览器/网络/缓存']
sales,销售,操作疑问,我们这边的市场同时，现在资源只能录入保利校区，要录入攀成钢校区怎么弄呢,市场录入资源如何区分校区,市场录线索时可以添加标签,,kb_candidate,[]
academic,教务,操作疑问,老生账号延期入口在哪里？,如何给学生续期,教务/校长在学员管理点击续期,,kb_candidate,['账号登录/密码/手机号']
teacher,老师,使用问题,老师，想问问新生的模考可以生成模考的二维码，但是老师手机扫码进入后只能查看，不能编辑，怎么处理呢？,老师手机查看入学模考二维码没有办法批改,如果已经是正式学员了，老师可以直接在学员管理，看到学生入学模考成绩。如果学生还未转正，入学模考由销售发送二维码给老师，老师登录系统，复制二维码链接可以给学生批改,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '题库/录题/单词书/模考', '小程序/公众号/二维码']"
academic,教务,操作疑问,这个一对二的班现在要变成一对一上课，我选言乐，转班，但是在可转的班级只能看到胤伶的一对一,一对二的班级需要变成一对一上课，如何操作,可以给学生单独创建一个一对一的班级，不要加入学生，然后直接将学生转班进这个班级。如果需要创建新的订单，可以按报课流程选择1对1班级,3b6559d5d5b5211235a5186ea1a64e6.png,kb_candidate,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
sales,销售,操作疑问,请问购课时添加协作CC在哪里操作,学生购课如何添加协作销售,销售管理/校长可在订单-订单详情编辑,c12642f16ab2ab45fe9a73a465e8d24.png,kb_candidate,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
academic,教务,使用问题,这个订单确认好了，但是再班级这边怎么没有显示,订单已确认，班级没有显示,订单没有班级，可以创建班级再关联订单,,kb_candidate,"['班级/排课/课时/考勤', '订单/合同/报课/收费']"
sales,销售,使用问题,老师好，这个板块目前无法出现所有的班级，请问怎么解决呀,潜客报名，课程下班级显示不全,班级类型没有选择或者不是一对多,802f58732133796cd7d61f4058d1c38.png,kb_candidate,['班级/排课/课时/考勤']
sales,销售,操作疑问,老师好，请问一下销售的这个端口，手机号码录进去之后就无法再进行更改了是么？如果需要更改该如何操作。,无法修改潜客电话号码,需要有潜客联系方式来源修改的权限,24940bb56b708221cf4c326df57ca68.png,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
teacher,老师,操作疑问,各位好，我这边在编辑我们自有的题库，请问知识点类型和知识点这一块可以填写吗？,自有题库如何添加知识点类型,需要先在教研里添加机构知识点,4103679978f7e93cac12723799e572c.png,kb_candidate,['题库/录题/单词书/模考']
academic,教务,操作疑问,你好 请问我可以给某一位老师开权限让TA看到所有老师的课表吗能否只读不可编辑？ 或者说老师可以兼教务身份不？,如何让老师看到所有老师的课表但是不能编辑,给教务身份，不给排课权限,,kb_candidate,"['班级/排课/课时/考勤', '权限/角色/公池']"
teacher,老师,使用问题,学生说learning report看不全，为什么有的反馈，在课堂反馈里看不到呀,学生反馈课堂反馈内容显示不全,老师填写课堂反馈的时候没有勾选学生,,kb_candidate,"['作业/布置/批改/反馈', '权限/角色/公池']"
teacher,老师,操作疑问,老师，请问反馈这里能增加一个“本次课作业”的选项嘛,课堂反馈如何增加“本次课作业”的选项,可以在教务端的设置里，点击“教学相关”，最下端设置,c26a9b08978bcb877d0d3e1b7e9e3e4.png,kb_candidate,['作业/布置/批改/反馈']
teacher,老师,操作疑问,请问单词测试可以分批测试吗？就比如设置了280个单词的测试，每次测70个,单词如何布置分批测试,可以布置多次单词,,kb_candidate,['作业/布置/批改/反馈']
academic,教务,操作疑问,下午好，请问如何在系统上添加试听课呢？,试听课如何预约排课,试听课需要销售端在潜客跟进状态选择申请试听,097603d0afac4408b20eee706eed0da.png,kb_candidate,['班级/排课/课时/考勤']
academic,教务,使用问题,老师，课表按天看和按周看有出入哟，是什么原因~,周试图课程显示不完全,课程多，需要下翻,"b71586a5ff0ec8bacdb93c08b05bd38.png,66373bcbecf122cd40f6f44e941dc0c.jpg",kb_candidate,['班级/排课/课时/考勤']
student,学生,使用问题,请问学生反映有这个问题是什么导致的呢,学生雅思答题反馈不能跳到第三篇题目,学生用的微信浏览器,d88e39f693e053bda205eedbc2324ea.jpg,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
student,学生,操作疑问,是不是学生端绑定小程序也可以查课表我刚才引导学生去绑定，但是一直都是体验账号电脑页面已经显示已经绑定,学生端小程序是体验账号,已发送小程序文档,,kb_candidate,"['账号登录/密码/手机号', '班级/排课/课时/考勤', '小程序/公众号/二维码']"
teacher,老师,操作疑问,请问一下，我们自己出的试卷能够录入到系统吗？有具体的操作流程吗？或者你们可以帮忙录入吗？,自有题库如何创建,已发送创建自有题库帮助中心,,kb_candidate,['题库/录题/单词书/模考']
teacher,老师,使用问题,最近两天出现这个时间选不了，然后布置不了作业的问题。,老师布置作业选不了开始日期,浏览器问题，没用谷歌,"313d2a5e2f9e84d254d488b40b4081a.png,c80407040cb52404f1dd88279368eb5.png",kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
teacher,老师,操作疑问,学生的作业没有更新出来,学生大纲作业新增的内容没有下发给学生,从教研-大纲那里给作业大纲添加了新的任务条目，在班级里，新加的条目是没有日期也不会下发作业的。可以给新加的任务设置一下下发日期就可以了,3253d1ac715954ebff365d68a73139b.png,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤']"
teacher,老师,使用问题,请问布置的作业逾期了，怎么修改时间啊没有编辑的那种符号,老师修改不了作业时间,能修改自己布置的作业,66fafbf0800ca3ed7604ceea4a35023.png,kb_candidate,['作业/布置/批改/反馈']
academic,教务,操作疑问,如何导出老师课消，需要显示老师所上了哪些学生，什么时间和科目，目前我导出的课时是总课时,如何导出老师课消，需要显示老师所上了哪些学生，什么时间和科目,课表可以筛选老师导出,,kb_candidate,['班级/排课/课时/考勤']
student,学生,操作疑问,小程序始终都添加不了，在电脑端微信操作的，始终显示扫描二维码，扫描后，还是绑定不了。,小程序无法绑定,已发送小程序公众号操作文档,a7da931e5c7124f6150ef123c221536.png,kb_candidate,['小程序/公众号/二维码']
student,学生,使用问题,你好 为什么用这个电脑无法进入作业啊,系统打不开作业,未使用谷歌浏览器,3a99d3e65e79af552328553c11c2425.jpg,kb_candidate,"['作业/布置/批改/反馈', '浏览器/网络/缓存']"
teacher,老师,操作疑问,其次关于词汇的布置，我们老师按照lesson/list上传的，目前来看布置的时候没有选择list，只能从整个书里面抽取，请问如何按照list或者多个list里面进行挑选布置,单词测试如何布置多个list,"单词书布置是下发整本单词书给学生，所以不能选择某个list,抽查可以布置多个单元，可以在布置作业-基础练习-单词中布置单独的一个或多个list",1403a7c6cd00fb05f509e96cd1d99ac.jpg,kb_candidate,"['作业/布置/批改/反馈', '题库/录题/单词书/模考']"
teacher,老师,使用问题,老师，为啥想在系统上填写反馈，只能看到部分课程呀，比如周一的课，我想写反馈就看不到~,老师首页待反馈看不到课程,老师端首页待反馈只显示老师自己的课程，助教端显示班级全部课程,45143cce49c80406d1ae4db7f3948fc.png,kb_candidate,"['作业/布置/批改/反馈', '班级/排课/课时/考勤', '权限/角色/公池']"
academic,教务,操作疑问,你好，我们无法添加学员,教务添加学员时无法填写手机号,账号没有学生联系方式查看的权限,0b5132e134678c8760e3a9323b74b535.mp4,kb_candidate,"['账号登录/密码/手机号', '权限/角色/公池']"
academic,教务,使用问题,学生课时已上完，但是显示还有剩余课时,学生课时已上完，但是显示还有剩余课时,因为学生的入班时间晚于上课时间，所以入班前的课是没有计算课消的，需要手动打考勤,e246f249c9d4b0609a92d5d5fee86fe.jpg,kb_candidate,['班级/排课/课时/考勤']
teacher,老师,使用问题,这个智能批改一直显示批改中是为什么呀,作业AI批改一直显示批改中,作业还是进行中，未交卷,aab1846b41b867d138e9eef02bb9ec3.jpg,kb_candidate,['作业/布置/批改/反馈']
sales,销售,操作疑问,报读课程部分，是只能从列表中选择吗？比如我要填写的FCE VIP，在列表中没有，我手动输入，输入后就自动清除了,销售端报课没有办法手动输入课程,教务/校长这边编辑好课程，销售端可以选择对应课程,,kb_candidate,"['账号登录/密码/手机号', '订单/合同/报课/收费']"
academic,教务,操作疑问,老师 我想请问下 一个账号可不可以关联所有课程呢,需要给学生账号关联系统内所有课程,可以给学生创建不同的班级，一个班级关联一个课程，课程是和班级挂钩的,,kb_candidate,"['账号登录/密码/手机号', '班级/排课/课时/考勤']"
principal,校长,操作疑问,校校老师，请问一下，新生暂时没有缴费确定具体课程意向，但是想用校校系统词汇系统学习起来，请问有什么操作方式可以达到这样的效果吗？我们可以给他开通账号,如何给未报课的学生开账号，布置词汇练习,直接在教务端，1. 添加学员账号 2. 在“班级”新建或找到学员所在班级，将学生添加进班级即可,,kb_candidate,"['账号登录/密码/手机号', '作业/布置/批改/反馈', '班级/排课/课时/考勤', '订单/合同/报课/收费']"
academic,教务,操作疑问,1、老师和学生是否可以实现系统打卡 目前是监测老师和学生的出勤 2、老师是否可以在系统完成课后反馈,老师和学生是否可以实现系统打卡，老师是否可以在系统完成课后反馈,学生可以扫二维码签到。老师可以填写课后反馈,,kb_candidate,"['作业/布置/批改/反馈', '小程序/公众号/二维码']"
principal,校长,使用问题,您好，因为最近碰到很多过来考前刷题的孩子，咱们的题库有点不太够用，想问一下，可以帮忙从剑5-18都更新下T1-T4的题库吗，感谢,校长身份查看不了题库,可以添加一个老师身份,,kb_candidate,"['权限/角色/公池', '题库/录题/单词书/模考']"
teacher,老师,操作疑问,学生在尝试的时候以为会有重新做一次的这种选项，结果导致他没有说好，但已经提交出分了，然后现在他想重新练习一次，就只能我重新发布一次作业能不能加入一个每次作业下面加一个“重新做”的选项,雅思口语学生想重新练习一次，就只能老师重新发布一次作业,老师布置的时候不要勾选这个“倒计时结束禁止答题”的选项，学生可以反复录内容的,,kb_candidate,['作业/布置/批改/反馈']
